Entity,Year,Annual CO₂ emissions (per capita)
Albania,1949,0.8254675
Albania,1950,0.23779757
Albania,1951,0.31573913
Albania,1952,0.28561068
Albania,1953,0.30812153
Albania,1954,0.3634283
Albania,1955,0.46730053
Albania,1956,0.57578564
Albania,1957,1.0051485
Albania,1958,0.7781882
Albania,1959,0.9049118
Albania,1960,1.2260798
Albania,1961,1.3412982
Albania,1962,1.4117943
Albania,1963,1.161548
Albania,1964,1.0941104
Albania,1965,1.1467059
Albania,1966,1.3074805
Albania,1967,1.3330975
Albania,1968,1.4835778
Albania,1969,1.5239987
Albania,1970,1.7144294
Albania,1971,1.9454738
Albania,1972,2.4628417
Albania,1973,2.2552407
Albania,1974,1.8094527
Albania,1975,1.8702675
Albania,1976,1.9705689
Albania,1977,2.2276359
Albania,1978,2.4732623
Albania,1979,2.8284235
Albania,1980,1.8903576
Albania,1981,2.6303344
Albania,1982,2.5669134
Albania,1983,2.6267095
Albania,1984,2.6395113
Albania,1985,2.6044364
Albania,1986,2.6098063
Albania,1987,2.3650544
Albania,1988,2.2812014
Albania,1989,2.756218
Albania,1990,1.684179
Albania,1991,1.3069752
Albania,1992,0.7668397
Albania,1993,0.7132882
Albania,1994,0.5884345
Albania,1995,0.641109
Albania,1996,0.6216071
Albania,1997,0.47776946
Albania,1998,0.54662454
Albania,1999,0.93653786
Albania,2000,0.9554095
Albania,2001,1.0231152
Albania,2002,1.1959839
Albania,2003,1.3801945
Albania,2004,1.3479205
Albania,2005,1.3853261
Albania,2006,1.2818848
Albania,2007,1.3063761
Albania,2008,1.4691683
Albania,2009,1.4879781
Albania,2010,1.6334537
Albania,2011,1.8254421
Albania,2012,1.6667176
Albania,2013,1.8185531
Albania,2014,2.0662165
Albania,2015,1.6256682
Albania,2016,1.5984385
Albania,2017,1.8263237
Albania,2018,1.6913085
Albania,2019,1.6731355
Albania,2020,1.640428
Albania,2021,1.8017042
Albania,2022,1.8296225
Albania,2023,1.8296527
Algeria,1916,0.0006419031
Algeria,1917,0.0012771984
Algeria,1918,0.0031769325
Algeria,1919,0.0031571276
Algeria,1920,0.0037603965
Algeria,1921,0.0043493058
Algeria,1922,0.0043066936
Algeria,1923,0.0024340036
Algeria,1924,0.00481467
Algeria,1925,0.005357156
Algeria,1926,0.0064758947
Algeria,1927,0.009316276
Algeria,1928,0.011485059
Algeria,1929,0.012478749
Algeria,1930,0.012864212
Algeria,1931,0.014877537
Algeria,1932,0.016805604
Algeria,1933,0.017591037
Algeria,1934,0.019898007
Algeria,1935,0.018538017
Algeria,1936,0.0070609855
Algeria,1937,0.009429192
Algeria,1938,0.0044057337
Algeria,1939,0.021176292
Algeria,1940,0.030772531
Algeria,1941,0.03960487
Algeria,1942,0.06239821
Algeria,1943,0.057818197
Algeria,1944,0.060518295
Algeria,1945,0.0736583
Algeria,1946,0.089851215
Algeria,1947,0.08638843
Algeria,1948,0.09181947
Algeria,1949,0.10236545
Algeria,1950,0.41954413
Algeria,1951,0.44565904
Algeria,1952,0.4084804
Algeria,1953,0.40920573
Algeria,1954,0.41463554
Algeria,1955,0.44953737
Algeria,1956,0.47653028
Algeria,1957,0.516642
Algeria,1958,0.47601944
Algeria,1959,0.50556153
Algeria,1960,0.5384077
Algeria,1961,0.5207678
Algeria,1962,0.47971734
Algeria,1963,0.45227212
Algeria,1964,0.46331307
Algeria,1965,0.5327973
Algeria,1966,0.6688521
Algeria,1967,0.6548262
Algeria,1968,0.68705213
Algeria,1969,0.8357847
Algeria,1970,1.092521
Algeria,1971,1.3227657
Algeria,1972,1.9631655
Algeria,1973,2.5913706
Algeria,1974,2.1063693
Algeria,1975,2.0410821
Algeria,1976,2.3847141
Algeria,1977,2.4591596
Algeria,1978,3.5674593
Algeria,1979,2.5251727
Algeria,1980,3.5694108
Algeria,1981,2.411051
Algeria,1982,1.9712373
Algeria,1983,2.553931
Algeria,1984,3.3352218
Algeria,1985,3.2991388
Algeria,1986,3.3448615
Algeria,1987,3.578101
Algeria,1988,3.471996
Algeria,1989,3.223998
Algeria,1990,3.0240524
Algeria,1991,3.0324442
Algeria,1992,2.9999158
Algeria,1993,3.004142
Algeria,1994,3.1773827
Algeria,1995,3.3992414
Algeria,1996,3.4457152
Algeria,1997,2.9875476
Algeria,1998,3.5448265
Algeria,1999,3.0008588
Algeria,2000,2.7633646
Algeria,2001,2.7716565
Algeria,2002,2.856382
Algeria,2003,2.939499
Algeria,2004,2.8108854
Algeria,2005,3.3523152
Algeria,2006,3.149473
Algeria,2007,3.2141402
Algeria,2008,3.1906164
Algeria,2009,3.3489714
Algeria,2010,3.2704937
Algeria,2011,3.389791
Algeria,2012,3.603938
Algeria,2013,3.664963
Algeria,2014,3.8587632
Algeria,2015,4.000239
Algeria,2016,3.8795354
Algeria,2017,3.9620245
Algeria,2018,4.0631776
Algeria,2019,4.1554136
Algeria,2020,3.8185754
Algeria,2021,4.012335
Algeria,2022,4.058243
Algeria,2023,3.8586802
Andorra,1990,7.735986
Andorra,1991,7.179241
Andorra,1992,6.7598104
Andorra,1993,6.48916
Andorra,1994,6.2970924
Andorra,1995,6.6530585
Andorra,1996,7.103662
Andorra,1997,7.194644
Andorra,1998,7.512792
Andorra,1999,7.8089185
Andorra,2000,7.9806256
Andorra,2001,7.959651
Andorra,2002,7.992899
Andorra,2003,7.701912
Andorra,2004,7.5454874
Andorra,2005,7.433105
Andorra,2006,6.862631
Andorra,2007,6.5804276
Andorra,2008,6.452868
Andorra,2009,6.1603327
Andorra,2010,6.4034505
Andorra,2011,6.314885
Andorra,2012,6.344217
Andorra,2013,6.336149
Andorra,2014,6.264013
Andorra,2015,6.449363
Andorra,2016,6.5007763
Andorra,2017,6.3609385
Andorra,2018,6.6312327
Andorra,2019,6.423361
Andorra,2020,4.926832
Andorra,2021,5.239097
Andorra,2022,5.2659054
Andorra,2023,5.244343
Angola,1950,0.041052636
Angola,1951,0.054133892
Angola,1952,0.06695266
Angola,1953,0.058364484
Angola,1954,0.07298692
Angola,1955,0.08561107
Angola,1956,0.1022815
Angola,1957,0.12421802
Angola,1958,0.11714581
Angola,1959,0.1202303
Angola,1960,0.10492957
Angola,1961,0.085580274
Angola,1962,0.22022209
Angola,1963,0.21258563
Angola,1964,0.22380759
Angola,1965,0.21480805
Angola,1966,0.27815267
Angola,1967,0.17579895
Angola,1968,0.29276562
Angola,1969,0.48287046
Angola,1970,0.61132354
Angola,1971,0.5684099
Angola,1972,0.7289229
Angola,1973,0.76288235
Angola,1974,0.7358482
Angola,1975,0.6442903
Angola,1976,0.46363536
Angola,1977,0.48204607
Angola,1978,0.712687
Angola,1979,0.69951326
Angola,1980,0.65582365
Angola,1981,0.62435424
Angola,1982,0.5296375
Angola,1983,0.5615513
Angola,1984,0.5289536
Angola,1985,0.4781752
Angola,1986,0.4570126
Angola,1987,0.5511651
Angola,1988,0.46489167
Angola,1989,0.43802524
Angola,1990,0.43778852
Angola,1991,0.42118028
Angola,1992,0.4156943
Angola,1993,0.44814467
Angola,1994,0.85686773
Angola,1995,0.920941
Angola,1996,1.0760739
Angola,1997,1.0834817
Angola,1998,1.0893161
Angola,1999,1.1017474
Angola,2000,0.9876686
Angola,2001,0.94992006
Angola,2002,0.9279965
Angola,2003,0.97440666
Angola,2004,0.9148033
Angola,2005,0.7976115
Angola,2006,0.85658926
Angola,2007,0.846448
Angola,2008,0.86892325
Angola,2009,0.92208767
Angola,2010,0.9866296
Angola,2011,0.9660887
Angola,2012,1.0303292
Angola,2013,0.98257923
Angola,2014,0.96059424
Angola,2015,0.9768872
Angola,2016,0.8726181
Angola,2017,0.78040284
Angola,2018,0.74464995
Angola,2019,0.68097985
Angola,2020,0.49424374
Angola,2021,0.55587184
Angola,2022,0.5682681
Angola,2023,0.56545913
Anguilla,1990,5.6833315
Anguilla,1991,5.48503
Anguilla,1992,5.314292
Anguilla,1993,5.9616013
Anguilla,1994,5.819568
Anguilla,1995,6.051822
Anguilla,1996,6.2506776
Anguilla,1997,6.0834064
Anguilla,1998,6.2697973
Anguilla,1999,6.0970693
Anguilla,2000,6.9001884
Anguilla,2001,7.355503
Anguilla,2002,7.2156863
Anguilla,2003,7.4163785
Anguilla,2004,8.516686
Anguilla,2005,8.977458
Anguilla,2006,9.712587
Anguilla,2007,9.846349
Anguilla,2008,9.681069
Anguilla,2009,9.514703
Anguilla,2010,9.894531
Anguilla,2011,9.193801
Anguilla,2012,9.05301
Anguilla,2013,8.865633
Anguilla,2014,8.823761
Anguilla,2015,9.808524
Anguilla,2016,9.735823
Anguilla,2017,8.903083
Anguilla,2018,8.9712305
Anguilla,2019,9.904041
Anguilla,2020,9.6349535
Anguilla,2021,9.883525
Anguilla,2022,9.781347
Anguilla,2023,10.043082
Antigua and Barbuda,1950,0.26888445
Antigua and Barbuda,1951,0.42106965
Antigua and Barbuda,1952,0.3093484
Antigua and Barbuda,1953,0.35362852
Antigua and Barbuda,1954,0.24746718
Antigua and Barbuda,1955,0.43662363
Antigua and Barbuda,1956,0.42808738
Antigua and Barbuda,1957,0.41970217
Antigua and Barbuda,1958,0.54863644
Antigua and Barbuda,1959,0.53777564
Antigua and Barbuda,1960,0.6592062
Antigua and Barbuda,1961,0.84277576
Antigua and Barbuda,1962,1.7903113
Antigua and Barbuda,1963,1.4501402
Antigua and Barbuda,1964,1.5528846
Antigua and Barbuda,1965,2.5060306
Antigua and Barbuda,1966,5.71898
Antigua and Barbuda,1967,9.128879
Antigua and Barbuda,1968,15.757382
Antigua and Barbuda,1969,19.702631
Antigua and Barbuda,1970,7.156694
Antigua and Barbuda,1971,6.569353
Antigua and Barbuda,1972,5.786607
Antigua and Barbuda,1973,5.127025
Antigua and Barbuda,1974,6.6950073
Antigua and Barbuda,1975,11.080935
Antigua and Barbuda,1976,6.3237834
Antigua and Barbuda,1977,7.289543
Antigua and Barbuda,1978,7.670661
Antigua and Barbuda,1979,6.329334
Antigua and Barbuda,1980,2.2161977
Antigua and Barbuda,1981,1.6440916
Antigua and Barbuda,1982,4.52674
Antigua and Barbuda,1983,1.29843
Antigua and Barbuda,1984,2.2599497
Antigua and Barbuda,1985,3.8592916
Antigua and Barbuda,1986,3.8780332
Antigua and Barbuda,1987,4.299191
Antigua and Barbuda,1988,4.494433
Antigua and Barbuda,1989,4.515595
Antigua and Barbuda,1990,3.8365276
Antigua and Barbuda,1991,3.9326336
Antigua and Barbuda,1992,3.8704426
Antigua and Barbuda,1993,3.913037
Antigua and Barbuda,1994,4.0034723
Antigua and Barbuda,1995,3.9774675
Antigua and Barbuda,1996,4.159568
Antigua and Barbuda,1997,4.3845644
Antigua and Barbuda,1998,4.45465
Antigua and Barbuda,1999,4.6774044
Antigua and Barbuda,2000,4.746304
Antigua and Barbuda,2001,4.86715
Antigua and Barbuda,2002,5.281733
Antigua and Barbuda,2003,5.506943
Antigua and Barbuda,2004,5.728129
Antigua and Barbuda,2005,6.031541
Antigua and Barbuda,2006,6.4124317
Antigua and Barbuda,2007,6.5493455
Antigua and Barbuda,2008,6.4986486
Antigua and Barbuda,2009,6.6192207
Antigua and Barbuda,2010,6.4441996
Antigua and Barbuda,2011,6.3263187
Antigua and Barbuda,2012,6.384739
Antigua and Barbuda,2013,6.327433
Antigua and Barbuda,2014,6.400541
Antigua and Barbuda,2015,6.5189166
Antigua and Barbuda,2016,6.6411505
Antigua and Barbuda,2017,6.6850224
Antigua and Barbuda,2018,6.7725687
Antigua and Barbuda,2019,7.020848
Antigua and Barbuda,2020,6.74395
Antigua and Barbuda,2021,6.9060183
Antigua and Barbuda,2022,6.6604347
Antigua and Barbuda,2023,6.911837
Argentina,1856,0.013673803
Argentina,1857,0.032908835
Argentina,1858,0.041893065
Argentina,1859,0.026321769
Argentina,1860,0.031573337
Argentina,1861,0.03730976
Argentina,1862,0.029855374
Argentina,1863,0.042573165
Argentina,1864,0.03507302
Argentina,1865,0.058306683
Argentina,1866,0.089572854
Argentina,1867,0.06245207
Argentina,1868,0.0895038
Argentina,1869,0.10059324
Argentina,1870,0.08947428
Argentina,1871,0.09374776
Argentina,1872,0.088586494
Argentina,1873,0.09527532
Argentina,1874,0.10954309
Argentina,1875,0.061874352
Argentina,1876,0.058640223
Argentina,1877,0.044949133
Argentina,1878,0.035060696
Argentina,1879,0.08051388
Argentina,1880,0.07901757
Argentina,1881,0.12160134
Argentina,1882,0.13154578
Argentina,1883,0.17834175
Argentina,1884,0.2360082
Argentina,1885,0.26492643
Argentina,1886,0.26444587
Argentina,1887,0.3945215
Argentina,1888,0.37945464
Argentina,1889,0.6034034
Argentina,1890,0.43143836
Argentina,1891,0.3115949
Argentina,1892,0.46903446
Argentina,1893,0.4500921
Argentina,1894,0.50758815
Argentina,1895,0.59021986
Argentina,1896,0.5575416
Argentina,1897,0.5284933
Argentina,1898,0.509013
Argentina,1899,0.5839936
Argentina,1900,0.4323882
Argentina,1901,0.49588075
Argentina,1902,0.50725186
Argentina,1903,0.55892307
Argentina,1904,0.6886952
Argentina,1905,0.8258431
Argentina,1906,1.0618477
Argentina,1907,0.89841384
Argentina,1908,0.93455523
Argentina,1909,0.83665067
Argentina,1910,1.0261819
Argentina,1911,1.2140063
Argentina,1912,1.1976022
Argentina,1913,1.2732416
Argentina,1914,1.1010218
Argentina,1915,0.7143049
Argentina,1916,0.53138864
Argentina,1917,0.2962328
Argentina,1918,0.18784678
Argentina,1919,0.39744225
Argentina,1920,0.6360484
Argentina,1921,0.5249176
Argentina,1922,0.6487387
Argentina,1923,0.7638144
Argentina,1924,0.99620444
Argentina,1925,0.9960255
Argentina,1926,0.9829984
Argentina,1927,1.1556275
Argentina,1928,1.0944129
Argentina,1929,1.1017036
Argentina,1930,1.0521537
Argentina,1931,1.0397519
Argentina,1932,1.0547066
Argentina,1933,1.0867624
Argentina,1934,1.1576643
Argentina,1935,1.119883
Argentina,1936,1.167924
Argentina,1937,1.229445
Argentina,1938,1.1909894
Argentina,1939,1.1923398
Argentina,1940,1.11146
Argentina,1941,0.9720639
Argentina,1942,0.922407
Argentina,1943,0.94508845
Argentina,1944,0.91897327
Argentina,1945,0.88312054
Argentina,1946,0.86872613
Argentina,1947,0.9028329
Argentina,1948,1.0613021
Argentina,1949,0.9200045
Argentina,1950,1.7582104
Argentina,1951,2.014409
Argentina,1952,2.0394065
Argentina,1953,1.9474671
Argentina,1954,1.9993492
Argentina,1955,2.1136994
Argentina,1956,2.325297
Argentina,1957,2.4561625
Argentina,1958,2.2416584
Argentina,1959,2.441391
Argentina,1960,2.3920577
Argentina,1961,2.4667633
Argentina,1962,2.5455036
Argentina,1963,2.335611
Argentina,1964,2.55726
Argentina,1965,2.6593385
Argentina,1966,2.8089912
Argentina,1967,2.8718777
Argentina,1968,2.9808903
Argentina,1969,3.285973
Argentina,1970,3.4612207
Argentina,1971,3.6627166
Argentina,1972,3.6546676
Argentina,1973,3.752139
Argentina,1974,3.7500193
Argentina,1975,3.6656587
Argentina,1976,3.7934048
Argentina,1977,3.7715065
Argentina,1978,3.7798605
Argentina,1979,4.01236
Argentina,1980,3.878976
Argentina,1981,3.582379
Argentina,1982,3.5731704
Argentina,1983,3.5773196
Argentina,1984,3.5646636
Argentina,1985,3.3138804
Argentina,1986,3.3801858
Argentina,1987,3.671171
Argentina,1988,3.820104
Argentina,1989,3.6261888
Argentina,1990,3.4237754
Argentina,1991,3.5436058
Argentina,1992,3.6070678
Argentina,1993,3.4551055
Argentina,1994,3.4226422
Argentina,1995,3.5721915
Argentina,1996,3.6929224
Argentina,1997,3.798655
Argentina,1998,3.8303359
Argentina,1999,4.030584
Argentina,2000,3.8552415
Argentina,2001,3.5916998
Argentina,2002,3.2851255
Argentina,2003,3.499908
Argentina,2004,4.046011
Argentina,2005,4.1203976
Argentina,2006,4.39929
Argentina,2007,4.3377132
Argentina,2008,4.634423
Argentina,2009,4.361317
Argentina,2010,4.5035615
Argentina,2011,4.5476246
Argentina,2012,4.53876
Argentina,2013,4.451081
Argentina,2014,4.3788686
Argentina,2015,4.41024
Argentina,2016,4.32618
Argentina,2017,4.219999
Argentina,2018,4.0443406
Argentina,2019,3.969191
Argentina,2020,3.65377
Argentina,2021,4.217578
Argentina,2022,4.4943905
Argentina,2023,4.2998033
Armenia,1830,0.00008832011
Armenia,1831,0.00010720834
Armenia,1832,0.000069376845
Armenia,1833,0.00008593262
Armenia,1850,0.00046166775
Armenia,1855,0.0013364782
Armenia,1858,0.0018260301
Armenia,1859,0.0019192299
Armenia,1860,0.0025119476
Armenia,1861,0.0031617072
Armenia,1862,0.002826426
Armenia,1863,0.0029325227
Armenia,1864,0.0032594292
Armenia,1865,0.0030869336
Armenia,1866,0.009660993
Armenia,1867,0.01098509
Armenia,1868,0.009055714
Armenia,1869,0.012170943
Armenia,1870,0.013086264
Armenia,1871,0.017505381
Armenia,1872,0.017806493
Armenia,1873,0.016558615
Armenia,1874,0.01991405
Armenia,1875,0.022710022
Armenia,1876,0.027936064
Armenia,1877,0.028246393
Armenia,1878,0.036576033
Armenia,1879,0.03718469
Armenia,1880,0.043220297
Armenia,1881,0.045103792
Armenia,1882,0.047072086
Armenia,1883,0.053082146
Armenia,1884,0.053399507
Armenia,1885,0.057628326
Armenia,1886,0.05856153
Armenia,1887,0.06139699
Armenia,1888,0.06345299
Armenia,1889,0.06789629
Armenia,1890,0.076182574
Armenia,1891,0.08310829
Armenia,1892,0.08716196
Armenia,1893,0.101224035
Armenia,1894,0.10214635
Armenia,1895,0.11628942
Armenia,1896,0.1172928
Armenia,1897,0.13436683
Armenia,1898,0.14931008
Armenia,1899,0.17161825
Armenia,1900,0.19262141
Armenia,1901,0.1959334
Armenia,1902,0.18749787
Armenia,1903,0.18172158
Armenia,1904,0.20031929
Armenia,1905,0.17716438
Armenia,1906,0.20021743
Armenia,1907,0.22219701
Armenia,1908,0.22150344
Armenia,1909,0.23167102
Armenia,1910,0.22510841
Armenia,1911,0.2312406
Armenia,1912,0.25953275
Armenia,1913,0.27934095
Armenia,1914,0.2497916
Armenia,1915,0.22716497
Armenia,1916,0.23989041
Armenia,1917,0.21874508
Armenia,1918,0.086444
Armenia,1919,0.07316447
Armenia,1920,0.066110395
Armenia,1921,0.07104394
Armenia,1922,0.085854314
Armenia,1923,0.09397665
Armenia,1924,0.11094613
Armenia,1925,0.10850647
Armenia,1926,0.15578502
Armenia,1927,0.19192174
Armenia,1928,0.208783
Armenia,1929,0.22284374
Armenia,1930,0.30155143
Armenia,1931,0.35929063
Armenia,1932,0.40053102
Armenia,1933,0.444208
Armenia,1934,0.5318963
Armenia,1935,0.59568447
Armenia,1936,0.67567515
Armenia,1937,0.6854013
Armenia,1938,0.7169203
Armenia,1939,0.71914864
Armenia,1940,0.85441315
Armenia,1941,0.7437685
Armenia,1942,0.4043868
Armenia,1943,0.4182036
Armenia,1944,0.60095894
Armenia,1945,0.62768173
Armenia,1946,0.6970409
Armenia,1947,0.8307709
Armenia,1948,0.87428486
Armenia,1949,0.9797033
Armenia,1950,1.0718168
Armenia,1951,1.1322048
Armenia,1952,1.1814889
Armenia,1953,1.2165492
Armenia,1954,1.2907816
Armenia,1955,1.4213424
Armenia,1956,1.5128034
Armenia,1957,1.6035486
Armenia,1958,1.6567262
Armenia,1959,1.6836777
Armenia,1960,1.694365
Armenia,1961,1.691472
Armenia,1962,1.7206779
Armenia,1963,1.7899395
Armenia,1964,1.848037
Armenia,1965,1.9042993
Armenia,1966,1.9558464
Armenia,1967,1.9930321
Armenia,1968,1.9995134
Armenia,1969,2.0353382
Armenia,1970,2.0955856
Armenia,1971,2.1840272
Armenia,1972,2.2544975
Armenia,1973,2.3049521
Armenia,1974,2.3466635
Armenia,1975,2.4179704
Armenia,1976,2.4453402
Armenia,1977,2.4473383
Armenia,1978,2.4490435
Armenia,1979,2.4165518
Armenia,1980,2.4877806
Armenia,1981,2.4227757
Armenia,1982,2.4472027
Armenia,1983,2.4617317
Armenia,1984,2.4595907
Armenia,1985,2.6212249
Armenia,1986,2.4699316
Armenia,1987,2.4532208
Armenia,1988,2.7702568
Armenia,1989,2.7343078
Armenia,1990,2.5335152
Armenia,1991,2.0420465
Armenia,1992,1.6024567
Armenia,1993,0.7269142
Armenia,1994,0.7979322
Armenia,1995,1.0166768
Armenia,1996,0.76259595
Armenia,1997,1.0020076
Armenia,1998,1.0656891
Armenia,1999,0.95989335
Armenia,2000,1.1170479
Armenia,2001,1.1453818
Armenia,2002,1.0069385
Armenia,2003,1.1370969
Armenia,2004,1.2212437
Armenia,2005,1.4556637
Armenia,2006,1.4719477
Armenia,2007,1.7144848
Armenia,2008,1.8834113
Armenia,2009,1.4813764
Armenia,2010,1.450935
Armenia,2011,1.6997997
Armenia,2012,1.966913
Armenia,2013,1.8939363
Armenia,2014,1.9176472
Armenia,2015,1.8723351
Armenia,2016,1.7826151
Armenia,2017,1.9006206
Armenia,2018,2.0008378
Armenia,2019,2.164008
Armenia,2020,2.3506444
Armenia,2021,2.5840976
Armenia,2022,2.4869792
Armenia,2023,2.584923
Aruba,1930,0
Aruba,1940,0
Aruba,1950,9.587973
Aruba,1951,14.734534
Aruba,1952,8.286352
Aruba,1953,9.339312
Aruba,1954,18.393942
Aruba,1955,14.814753
Aruba,1956,18.662897
Aruba,1957,12.427672
Aruba,1958,10.614876
Aruba,1959,13.330572
Aruba,1960,11.268896
